,NPC,Height,Age,Place of Birth,Sport,Gender,Name,Impairment,Nicknames,Other information,Hobbies,Hero / Idol,Competing for,Why this sport?,Famous relatives,Sporting philosophy / motto,Ambitions,Family,Classification,Awards and honours,Languages,Other sports,Club / Team,Location,Occupation,Origin of Impairment,Higher education,When and where did you begin this sport?,Training Regime,Name of coach,Most influential person in career,Type of Impairment,Year,Tournament,Memorable sporting achievement,Residence
0,Afghanistan,--,43,--,"Para athletics, Para swimming, Shooting Para sport",Men,HAIDARI Zubair,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,Afghanistan,--,37,--,Para swimming,Men,PARWANI Khan Agha,--,--,--,--,--,--,--,--,--,--,--,"S7, SB6, SM7",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2,Andorra,--,51,--,Para swimming,Men,CODINA MOLINE Marc,--,--,--,--,--,--,--,--,--,--,--,S9,--,--,--,Federacio Andorrana: Andorra,--,--,--,--,--,--,--,--,--,--,--,--,--
3,Andorra,--,37,--,Para swimming,Men,SANCHEZ FRANCISCO Antonio,--,--,"NATIONAL FIRSTHe became the first person to represent his country in the Paralympic Games when he competed at London 2012. (paralympic.org, 05 Feb 2014)",--,--,--,--,--,--,--,--,"S7, SB7, SM7",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,Angola,--,29,--,Para swimming,Men,LOPES Silvio Mendes,--,--,--,--,--,--,--,--,--,"After just missing out on representing Angola at the London 2012 Paralympics he hopes to compete at Rio 2016. (portalangop.co.ao, 12 Aug 2012)",--,"S9, SM9",--,--,--,--,--,--,--,"Universidade Tecnica de Angola: Luanda, ANG",--,"He trains at the First of August Swimming Pool in Maianga, Luanda, Angola.",Priscila Fernandes,--,Limb deficiency,--,--,--,"Luanda, ANG"
5,Angola,--,34,--,Para swimming,Women,MORAIS Jandira Q. Paixao,--,--,"STUDY FIRSTShe did not compete in competitions in order to obtain the qualifying standard for the London 2012 Paralympic Games because she wanted to concentrate on finishing her degree at university.(portalangop.co.ao, 20 Aug 2012)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,Student,--,--,--,--,Priscila Fernandes,--,--,--,--,--,"Luanda, ANG"
6,Argentina,--,21,"Río Gallegos, ARG",Para swimming,Women,ALONSO Milagros,"She has a specific language impairment, with some features of autism and slight loss of memory. (diariodepigafeta.com.ar, 14 Nov 2012)","Mili (elmediadortv.com.ar, 13 Mar 2017)",--,--,--,--,"""I tried swimming, and found that I felt more and more passionate about being in the water.""",--,--,--,--,"S14, SB14, SM14",--,--,"She has participated in athletics at the Evita Games, a national youth tournament in Argentina. In 2012, she won the long jump in the U14 category without previous experience in the event. ""I went to participate in swimming and found out it was compulsory to do athletics as well."" (diariodepigafeta.com.ar, 14 Nov 2012)","Club Deportivo Hispano Americano: Río Gallegos, ARG",--,--,Congenital,--,She began swimming at age six.,--,--,--,Intellectual impairment,--,--,--,--
7,Argentina,--,21,"Villa Carlos Paz, ARG",Para swimming,Women,ARAGÓN Jazmín,"She sustained a brachial plexus injury at birth. The condition affects the movement in her left arm. (infobae.com, 14 Mar 2020; cadena3.com, 10 Mar 2019)","Jaz (Facebook profile, 12 Apr 2019)",--,"""If you really want something, then give all your strength and love to achieve it. And be patient, it will take time but you will make it."" (infobae.com, 14 Mar 2020)",--,--,"Her doctor suggested the sport to her after she had surgery on her left arm. At first she went to the Estadio Mario Alberto Kempes to try and learn rhythmic gymnastics but she could not adapt to it and she was encouraged to focus on swimming instead. ""I did not want to do it, but my mother convinced me. That's where I started and then I never left the sport.""",--,--,"To compete at the Paralympic Games. (cadena3.com, 10 Mar 2019)",--,"S8, SB8, SM8",--,Spanish,"She has competed in Para open water swimming, and won gold at the 2019 National Beach Games in Puerto Madryn. Argentina. (cadena3.com, 10 Mar 2019)","Club Atletico Independiente: Buenos Aires, ARG",--,Student,Congenital,Fashion Design - University of Buenos Aires [UBA]: Argentina,"She began swimming at age seven in Villa Carlos Paz, Argentina. She took up the sport seriously at age 15 at the Estadio Mario Alberto Kempes in Cordoba, Argentina.",--,Edith Arraspide [club],"Her mother. (cadena3.com, 10 Mar 2019)",Impaired range of motion,--,--,--,"Villa Carlos Paz, ARG"
8,Argentina,1.77 m,31,"Lobería, ARG",Para swimming,Men,ARAYA Elián,"His impairment affects his hearing and means he is unable to speak. He communicates through sign language. (paradeportes.com, 19 Aug 2016)",--,--,--,"US swimmer Michael Phelps. (Athlete, 14 Jul 2015)",Argentina,He chose the sport following a medical recommendation.,--,--,"To compete at the 2023 Parapan American Games in Santiago, Chile. (senderomultimedios.com.ar, 19 Sep 2019)",--,"S14, SB14, SM14",--,Spanish,--,"NLTC Natacion Competitiva: Morón, ARG",Argentina,Athlete,--,--,"He began swimming in 2002 in Loberia, Argentina.",--,Pablo Quinteros [club]; Marcela Belviso [national],--,Intellectual impairment,2013,--,--,--
9,Argentina,--,25,--,Para swimming,Men,ARCE Facundo Matias,--,--,--,--,--,--,--,--,--,--,--,--,"In 2013 he was named Best Para-Athlete in the city of Trelew, Argentina. (trelew.gov.ar, 03 Jan 2014)",--,"He has also competed in para-athletics at national junior level. In 2009 he was the U14 long jump national champion for athletes with an impairment. (sucesosdeportivosesquel.blogspot.com.es, 18 Oct 2009)",Argentinian Sports Federation for Cerebral Palsy [FADEPAC]: Argentina,--,--,--,--,--,--,--,--,Cerebral Palsy,--,--,--,"Trelew, ARG"
10,Argentina,--,19,"Córdoba, ARG",Para swimming,Men,ARÉVALO Germán,--,"Leo, Ger (Facebook profile, 12 Dec 2018; porigualmas.org, 09 Mar 2016)",--,--,"Argentinian footballer Lionel Messi. (porigualmas.org, 09 Mar 2016)",--,His mother and his sister encouraged him to try the sport for rehabilitation.,--,--,--,--,"S6, SB5, SM6",--,Spanish,--,Agencia Cordoba Deportes: Argentina,--,Athlete,Congenital,--,"He took up the sport in 2010 at the Polideportivo General Paz in Cordoba, Argentina. He began competing in 2014.",--,--,--,Cerebral Palsy,--,--,--,"Córdoba, ARG"
